이름,차량번호,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),클러스터,유사도
제네시스 더 올 뉴 G80  터보 AWD 스포츠팩,차량번호 131다5099,24,12010.0,가솔린,2497.0,흰색,"60개월 / 100,000km",63000000,104,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0705399332577281
제네시스 더 올 뉴 G80  터보 AWD 스포츠팩,차량번호 210서3560,23,26310.0,가솔린,2497.0,흰색,"60개월 / 100,000km",49900000,83,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,"470,000",0.0,0,2,0.0705399332577281
제네시스 더 올 뉴 G80  터보 AWD 스포츠팩,차량번호 163가7500,23,40701.0,가솔린,2497.0,검정색,"60개월 / 100,000km",50500000,84,1,1,1,1,1,1,1,1,1,1,1,4.0,0.0,0.0,0.0,0.0,3.0,"4,283,917",0.0,0,2,0.0705399332577281
제네시스 더 올 뉴 G80  터보 AWD 스포츠팩,차량번호 247로1066,22,20213.0,가솔린,2497.0,청색,"60개월 / 100,000km",52000000,86,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0705399332577281
제네시스 G80  터보 AWD 스포츠팩,차량번호 137너2077,25,2746.0,가솔린,2497.0,회색,"60개월 / 100,000km",76990000,117,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0705399332577281
제네시스 더 올 뉴 G80  터보 AWD 스포츠팩,차량번호 103더1527,23,18051.0,가솔린,2497.0,흰색,"60개월 / 100,000km",59500000,99,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,2.0,"4,975,700",0.0,0,2,0.0705399332577281
제네시스 더 올 뉴 G80  터보 AWD 스포츠팩,차량번호 153다9149,23,21214.0,가솔린,2497.0,흰색,"60개월 / 100,000km",53700000,89,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2.0,"7,146,021",0.0,0,2,0.0705399332577281
제네시스 더 올 뉴 G80  터보 AWD 스포츠팩,차량번호 189로7770,23,38403.0,가솔린,3470.0,검정색,"60개월 / 100,000km",53500000,81,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,"1,236,140",0.0,0,2,0.0705399332577281
제네시스 더 올 뉴 G80  터보 AWD 스포츠팩,차량번호 174서4381,23,28954.0,가솔린,3470.0,흰색,"60개월 / 100,000km",56500000,86,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2.0,"7,941,791",1.0,0,2,0.0705399332577281
제네시스 더 올 뉴 G80  터보 AWD 스포츠팩,차량번호 320두1310,22,43800.0,가솔린,2497.0,파란색,불가,40000000,66,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0705399332577281
제네시스 더 올 뉴 G80  터보 AWD 스포츠팩,차량번호 320두1310,22,43800.0,가솔린,2497.0,파란색,불가,40000000,66,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0705399332577281
제네시스 더 올 뉴 G80  터보 AWD 스포츠팩,차량번호 320두1310,22,43800.0,가솔린,2497.0,파란색,불가,40000000,66,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.0705399332577281
제네시스 G90 2세대  터보  프레스티지 컬렉션,차량번호 217우6366,23,71681.0,가솔린,3470.0,검정색,"60개월 / 120,000km",82900000,,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,1.0,"2,594,383",0.0,0,2,0.0661603549181101
제네시스 G90 2세대  터보  프레스티지 컬렉션,차량번호 217우6366,23,71681.0,가솔린,3470.0,검정색,"60개월 / 120,000km",82900000,,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,1.0,"2,594,383",0.0,0,2,0.0661603549181101
제네시스 G90 2세대  터보  프레스티지 컬렉션,차량번호 217우6366,23,71681.0,가솔린,3470.0,검정색,"60개월 / 120,000km",82900000,,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,1.0,"2,594,383",0.0,0,2,0.0661603549181101
제네시스 G90 2세대  터보 ,차량번호 332도9519,23,35700.0,가솔린,3470.0,검정색,"60개월 / 120,000km",79900000,84,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,"1,141,270",0.0,0,2,0.06604155491811059
제네시스 G90 2세대  터보  ,차량번호 156하7013,23,23000.0,가솔린,3470.0,진회색,"60개월 / 120,000km",11000000,소유,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.06604155491811059
제네시스 G90 2세대  터보  ,차량번호 209로8534,23,68661.0,가솔린,3470.0,흰색,"60개월 / 120,000km",79900000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.06604155491811059
제네시스 G90 2세대  터보  ,차량번호 156하7013,23,23000.0,가솔린,3470.0,진회색,"60개월 / 120,000km",11000000,소유,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.06604155491811059
제네시스 G90 2세대  터보  ,차량번호 209로8534,23,68661.0,가솔린,3470.0,흰색,"60개월 / 120,000km",79900000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.06604155491811059
제네시스 G90 2세대  터보  ,차량번호 209로8534,23,68661.0,가솔린,3470.0,흰색,"60개월 / 120,000km",79900000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.06604155491811059
제네시스 G90 1세대   럭셔리,차량번호 205로7726,22,116060.0,가솔린,3778.0,검정색,"60개월 / 120,000km",34000000,44,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,3.0,"4,837,017",3.0,"2,479,896",2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 388우6978,20,96923.0,가솔린,3778.0,검정색,만료,39900000,51,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"359,190",0.0,0,2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 195부2058,21,71688.0,가솔린,3778.0,검정색,"60개월 / 120,000km",47900000,62,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,2.0,"1,186,138",0.0,0,2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 217더6578,22,86932.0,가솔린,3778.0,검정색,"60개월 / 120,000km",47900000,62,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"1,461,954",0.0,0,2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 194다8203,21,106201.0,가솔린,3778.0,검정색,"60개월 / 120,000km",41900000,54,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,4.0,"4,962,019",1.0,"801,380",2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 388우6978,20,96923.0,가솔린,3778.0,검정색,만료,39900000,51,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"359,190",0.0,0,2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 195부2058,21,71688.0,가솔린,3778.0,검정색,"60개월 / 120,000km",47900000,62,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,2.0,"1,186,138",0.0,0,2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 217더6578,22,86932.0,가솔린,3778.0,검정색,"60개월 / 120,000km",47900000,62,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"1,461,954",0.0,0,2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 194다8203,21,106201.0,가솔린,3778.0,검정색,"60개월 / 120,000km",41900000,54,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,4.0,"4,962,019",1.0,"801,380",2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 388우6978,20,96923.0,가솔린,3778.0,검정색,만료,39900000,51,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"359,190",0.0,0,2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 195부2058,21,71688.0,가솔린,3778.0,검정색,"60개월 / 120,000km",47900000,62,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,2.0,"1,186,138",0.0,0,2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 217더6578,22,86932.0,가솔린,3778.0,검정색,"60개월 / 120,000km",47900000,62,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"1,461,954",0.0,0,2,0.06203030746526865
제네시스 G90 1세대  럭셔리,차량번호 194다8203,21,106201.0,가솔린,3778.0,검정색,"60개월 / 120,000km",41900000,54,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,4.0,"4,962,019",1.0,"801,380",2,0.06203030746526865
제네시스 G70  터보 AWD  스포츠 엘리트,차량번호 177나8600,20,39506.0,가솔린,3342.0,청색,만료,28800000,60,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,2,0.06173927174387123
제네시스 G70  터보 AWD 스포츠 엘리트,차량번호 284루4170,20,66178.0,가솔린,3342.0,검정색,만료,28600000,60,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,2.0,"1,006,648",0.0,0,2,0.06173927174387123
제네시스 G90 2세대   터보  프리미엄 컬렉션,차량번호 175호3738,24,10.0,가솔린,3470.0,검정색,"60개월 / 120,000km",14000000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.06122866304517343
제네시스 G90 2세대  터보 e-S/C LWB AWD ,차량번호 223부4591,23,42415.0,가솔린,3470.0,회색,"60개월 / 120,000km",105500000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.059977805470001914
제네시스 더 뉴 G70  터보 스포츠 팩,차량번호 183모4849,24,22617.0,가솔린,3342.0,흰색,"60개월 / 100,000km",48900000,100,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.05956606334604144
제네시스 더 뉴 G70  터보 스포츠 팩,차량번호 110루9875,23,16695.0,가솔린,1998.0,검정색,"60개월 / 100,000km",39500000,89,0,0,0,0,0,0,0,0,0,0,1,6.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"549,840",2,0.05956606334604144
제네시스 G70  터보 AWD 엘리트,차량번호 01로1787,20,59544.0,가솔린,1998.0,검정색,만료,26700000,63,1,1,1,1,1,1,1,1,1,1,1,4.0,0.0,0.0,0.0,0.0,0.0,0,2.0,"1,384,797",2,0.05947152169704808
제네시스 G70  터보 AWD 엘리트,차량번호 63오3590,20,37174.0,가솔린,1998.0,흰색,만료,30700000,73,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,1.0,"1,137,203",1.0,"968,070",2,0.05947152169704808
제네시스 G70  터보 AWD  엘리트,차량번호 07루6555,20,58401.0,가솔린,1998.0,흰색,만료,26990000,64,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,2.0,"2,368,900",0.0,0,2,0.05947152169704808
제네시스 G70  터보 AWD 엘리트,차량번호 34너9443,19,63564.0,가솔린,1998.0,청색,만료,25790000,61,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,3.0,"5,606,449",1.0,"701,540",2,0.05947152169704808
제네시스 더 뉴 G70  터보 ,차량번호 153보8466,22,52220.0,가솔린,1998.0,회색,"60개월 / 100,000km",36500000,90,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,4.0,"3,113,100",0.0,0,2,0.059313740478279246
제네시스 더 뉴 G70  터보,차량번호 138나6231,24,7000.0,가솔린,2497.0,흰색,"60개월 / 100,000km",18760000,운용,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,3.0,"3,693,199",3.0,"4,944,562",2,0.059313740478279246
제네시스 더 올 뉴 G80  터보 스포츠팩,차량번호 111도1571,22,34129.0,가솔린,2497.0,진회색,"60개월 / 100,000km",47900000,83,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.05734404418865324
제네시스 더 올 뉴 G80  터보 스포츠팩,차량번호 253러3567,23,33003.0,가솔린,2497.0,흰색,"60개월 / 100,000km",51990000,90,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"479,767",2,0.05734404418865324
제네시스 GV70  터보 스포츠,차량번호 182하9939,22,33406.0,가솔린,2497.0,흰색,"60개월 / 100,000km",43500000,,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2.0,"2,179,202",0.0,0,2,0.057255990632133304
제네시스 GV70  터보 스포츠,차량번호 106두1327,24,14262.0,가솔린,2497.0,흰색,"60개월 / 100,000km",52900000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.057255990632133304
제네시스 GV70  터보 스포츠,차량번호 247도6354,22,41250.0,가솔린,2497.0,흰색,"60개월 / 100,000km",44500000,,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,"2,594,928",0.0,0,2,0.057255990632133304
제네시스 G70  터보 AWD  스포츠 슈프림,차량번호 276머9666,19,74530.0,가솔린,3342.0,청색,만료,26900000,49,1,1,1,1,1,1,1,1,1,1,1,4.0,0.0,0.0,0.0,0.0,1.0,"2,004,805",1.0,"2,194,338",2,0.057212682878041814
제네시스 G70  터보 AWD 스포츠 슈프림,차량번호 382고8763,19,41000.0,가솔린,3342.0,청색,만료,25700000,47,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.057212682878041814
제네시스 G70  터보 AWD 스포츠 슈프림,차량번호 262너7632,19,66928.0,가솔린,3342.0,청색,만료,23500000,43,1,1,1,1,1,1,1,1,1,1,1,4.0,0.0,0.0,0.0,0.0,4.0,"4,258,067",0.0,0,2,0.057212682878041814
제네시스 GV70  터보 ,차량번호 151머7391,23,30663.0,가솔린,2497.0,흰색,"60개월 / 100,000km",46800000,,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.05618088129623794
제네시스 GV70  터보,차량번호 365저6882,22,39581.0,가솔린,2497.0,흰색,"60개월 / 100,000km",48400000,,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"1,509,909",2,0.05618088129623794
제네시스 GV70  터보,차량번호 132부1264,23,21877.0,가솔린,2497.0,흰색,"60개월 / 100,000km",50990000,,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.05618088129623794
제네시스 G70  터보 스포츠 엘리트,차량번호 305수8876,21,73641.0,가솔린,3342.0,검정색,"60개월 / 100,000km",27990000,62,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,3.0,"3,269,947",2.0,"4,773,334",2,0.04966105375403654
제네시스 G70  터보 스포츠 엘리트,차량번호 176나3822,21,68680.0,가솔린,3342.0,검정색,"60개월 / 100,000km",28700000,63,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,1.0,"404,677",0.0,0,2,0.04966105375403654
제네시스 G70   터보 스포츠팩   ,차량번호 16부6400,20,108590.0,가솔린,1998.0,진회색 (사틴 그레이 랩핑),불가,23900000,56,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,2,0.0480608408948368
제네시스 G70  터보 엘리트,차량번호 02러8695,20,52820.0,가솔린,1998.0,검정색,만료,23990000,60,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,4.0,"4,153,236",1.0,"536,778",2,0.046256915033488354
제네시스 G70  터보 엘리트,차량번호 17어7501,20,59064.0,가솔린,1998.0,청색,만료,28200000,71,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,2.0,"1,118,431",0.0,0,2,0.046256915033488354
제네시스 G70  터보 엘리트,차량번호 65가5994,19,88907.0,가솔린,1998.0,흰색,만료,24800000,62,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,3.0,"1,967,016",0.0,0,2,0.046256915033488354
제네시스 G70  터보 엘리트,차량번호 165보7798,20,73600.0,가솔린,1998.0,청색,만료,26500000,66,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,2.0,"1,216,548",0.0,0,2,0.046256915033488354
제네시스 G70  터보 엘리트,차량번호 268부1059,20,87479.0,가솔린,1998.0,검정색,만료,22900000,57,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,4.0,"3,787,849",0.0,0,2,0.046256915033488354
제네시스 G70  디젤 엘리트,차량번호 316라1281,20,121076.0,디젤,2199.0,진회색,만료,19900000,46,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.045710804084161394
제네시스 G70  디젤 엘리트,차량번호 316라1281,20,121076.0,디젤,2199.0,진회색,만료,19900000,46,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.045710804084161394
제네시스 G70  디젤 엘리트,차량번호 316라1281,20,121076.0,디젤,2199.0,진회색,만료,19900000,46,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.045710804084161394
제네시스 일렉트리파이드 G80  e-AWD -   ,차량번호 10로6754,22,24337.0,전기,167.0,검정색,정보없음,61500000,71,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.041807207892039254
제네시스 G80   AWD 파이니스트   ,차량번호 149마7491,18,152000.0,가솔린,3778.0,검정색,불가,23500000,32,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.04180720789203925
제네시스 G70  터보 슈프림,차량번호 17구2414,19,47397.0,가솔린,1998.0,회색,만료,25900000,,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,"1,187,950",0.0,0,2,0.04156101495136405
제네시스 G70  터보 슈프림,차량번호 69로1296,19,121000.0,가솔린,1998.0,은색,만료,18700000,,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,7.0,"7,977,673",3.0,"4,910,650",2,0.04156101495136405
제네시스 G70  터보 슈프림,차량번호 69로1296,19,121000.0,가솔린,1998.0,은색,만료,18700000,,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,7.0,"7,977,673",3.0,"4,910,650",2,0.04156101495136405
더 뉴 카니발 4세대  터보 HEV 9인승  프레스티지,차량번호 109호3193,25,35000.0,가솔린 하이브리드,1598.0,흰색,"60개월 / 100,000km",3000000,반납,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.07733747686769295
더 뉴 카니발 4세대  터보 HEV 9인승  프레스티지,차량번호 109호3783,25,20.0,가솔린 하이브리드,1598.0,흰색,"60개월 / 100,000km",3500000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.07733747686769295
더 뉴 카니발 4세대  터보 HEV 9인승  프레스티지,차량번호 109호3193,25,35000.0,가솔린 하이브리드,1598.0,흰색,"60개월 / 100,000km",3000000,반납,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.07733747686769295
더 뉴 카니발 4세대  터보 HEV 9인승  프레스티지,차량번호 109호3783,25,20.0,가솔린 하이브리드,1598.0,흰색,"60개월 / 100,000km",3500000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.07733747686769295
카니발 4세대   디젤 9인승 프레스티지  ,차량번호 262너8451,21,83000.0,디젤,2151.0,기타색상,불가,27900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.07425686777451672
카니발 4세대   디젤 9인승 프레스티지   ,차량번호 187버8606,24,29500.0,디젤,2151.0,흰색,"60개월 / 100,000km",31800000,,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,3,0.07425686777451672
카니발 4세대   디젤 9인승 프레스티지   ,차량번호 101하6760,22,24800.0,디젤,2151.0,흰색 (화이트 펄),"60개월 / 100,000km",42000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.07425686777451672
더 뉴 카니발 4세대  디젤 9인승 프레스티지,차량번호 109호3257,25,10.0,디젤,2151.0,흰색,"60개월 / 100,000km",4000000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.07425686777451672
더 뉴 카니발 4세대  디젤 9인승 프레스티지,차량번호 109호3444,25,55.0,디젤,2151.0,흰색,"60개월 / 100,000km",4000000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.07425686777451672
카니발 4세대  디젤 9인승 프레스티지,차량번호 164더8873,23,54888.0,디젤,2151.0,진회색,"60개월 / 100,000km",32000000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,2.0,"743,050",0.0,0,3,0.07425686777451672
더 뉴 카니발 4세대  디젤 9인승 프레스티지,차량번호 109호3257,25,10.0,디젤,2151.0,흰색,"60개월 / 100,000km",4000000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.07425686777451672
더 뉴 카니발 4세대  디젤 9인승 프레스티지,차량번호 109호3444,25,55.0,디젤,2151.0,흰색,"60개월 / 100,000km",4000000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.07425686777451672
카니발 4세대  디젤 9인승 프레스티지,차량번호 164더8873,23,54888.0,디젤,2151.0,진회색,"60개월 / 100,000km",32000000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,2.0,"743,050",0.0,0,3,0.07425686777451672
카니발 4세대  디젤 9인승 프레스티지,차량번호 164더8873,23,54888.0,디젤,2151.0,진회색,"60개월 / 100,000km",32000000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,2.0,"743,050",0.0,0,3,0.07425686777451672
올 뉴 카니발  디젤 9인승  프레스티지,차량번호 67머5519,16,171000.0,디젤,2199.0,검정색,만료,9490000,29,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,6.0,"7,879,627",2.0,"1,446,420",3,0.07002925647928133
올 뉴 카니발   디젤 9인승 프레스티지   ,차량번호 41오4171,15,166500.0,디젤,2199.0,검정색,불가,13900000,42,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.07002925647928133
올 뉴 카니발   디젤 9인승 프레스티지   ,차량번호 29루0896,16,177582.0,디젤,2199.0,검정색,불가,14900000,45,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.07002925647928133
올 뉴 카니발  디젤 9인승 프레스티지,차량번호 11모6758,16,156720.0,디젤,2199.0,검정색,만료,11290000,34,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,1.0,"617,179",1.0,"1,312,096",3,0.07002925647928133
올 뉴 카니발  디젤 9인승 프레스티지,차량번호 41부4857,16,168363.0,디젤,2199.0,회색,만료,9800000,29,1,1,1,1,1,1,1,1,1,1,1,4.0,0.0,0.0,0.0,0.0,13.0,"20,678,568",4.0,"18,431,236",3,0.07002925647928133
올 뉴 카니발  디젤 9인승  프레스티지,차량번호 67머5519,16,171000.0,디젤,2199.0,검정색,만료,9490000,29,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,6.0,"7,879,627",2.0,"1,446,420",3,0.07002925647928133
올 뉴 카니발   디젤 9인승 프레스티지   ,차량번호 41오4171,15,166500.0,디젤,2199.0,검정색,불가,13900000,42,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.07002925647928133
올 뉴 카니발   디젤 9인승 프레스티지   ,차량번호 29루0896,16,177582.0,디젤,2199.0,검정색,불가,14900000,45,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.07002925647928133
올 뉴 카니발   디젤 9인승 프레스티지   ,차량번호 41오4171,15,166500.0,디젤,2199.0,검정색,불가,13900000,42,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.07002925647928133
올 뉴 카니발   디젤 9인승 프레스티지   ,차량번호 29루0896,16,177582.0,디젤,2199.0,검정색,불가,14900000,45,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.07002925647928133
더 뉴 카니발 4세대  터보 HEV 9인승 노블레스,차량번호 179호3543,25,1400.0,가솔린 하이브리드,1598.0,흰색,"60개월 / 100,000km",400000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.06923104939210058
더 뉴 카니발 4세대  터보 HEV 9인승  시그니처,차량번호 196호6668,25,11887.0,가솔린 하이브리드,1598.0,흰색,"60개월 / 100,000km",1000000,소유,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.06847672583702531
더 뉴 카니발  디젤 9인승 하이리무진 프레스티지,차량번호 48어4374,19,121200.0,디젤,2199.0,검정색,만료,28000000,52,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,1.0,"2,537,990",2.0,"1,816,775",3,0.06806925657116723
올 뉴 카니발   디젤 9인승 하이리무진 프레스티지  ,차량번호 115고8877,16,150000.0,디젤,2199.0,검정색,불가,20000000,40,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.06806925657116723
쏘렌토 4세대 하이브리드  터보 HEV   프레스티지,차량번호 355저6822,23,49127.0,가솔린 하이브리드,1598.0,흰색,"60개월 / 100,000km",31990000,,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,"864,200",1.0,0,3,0.06711610791341964
